window,train_start,train_end,oos_start,oos_end,best_is_rsi,oos_sharpe,oos_wr,oos_n
1,2024-04-26,2025-04-26,2025-04-26,2025-10-26,33,1.51,0.6,10
2,2024-10-26,2025-10-26,2025-10-26,2026-04-27,33,2.44,0.733,15
