RSI_ENTRY,DIP_PCT,VOL_MULT,STOP_PCT,MAX_POSITIONS,SLEEVE_DD_CAP,sharpe,win_rate,max_dd,cagr,n_trades,passed
28,0.05,1.5,0.06,2,0.15,1.194,0.655,0.141,0.131,29,1
28,0.05,1.5,0.06,2,0.2,1.194,0.655,0.141,0.131,29,1
28,0.05,1.5,0.06,3,0.1,1.179,0.658,0.119,0.111,38,1
28,0.05,1.5,0.06,3,0.15,1.179,0.658,0.119,0.111,38,1
28,0.05,1.5,0.06,3,0.2,1.179,0.658,0.119,0.111,38,1
28,0.05,1.8,0.04,2,0.1,0.92,0.591,0.13,0.075,22,1
28,0.05,1.8,0.04,2,0.15,0.92,0.591,0.13,0.075,22,1
28,0.05,1.8,0.04,2,0.2,0.92,0.591,0.13,0.075,22,1
28,0.05,1.8,0.04,3,0.1,0.69,0.56,0.116,0.042,25,0
28,0.05,1.8,0.04,3,0.15,0.69,0.56,0.116,0.042,25,0
28,0.05,1.8,0.04,3,0.2,0.69,0.56,0.116,0.042,25,0
28,0.05,1.8,0.05,2,0.1,1.073,0.65,0.105,0.09,20,1
28,0.05,1.8,0.05,2,0.15,1.073,0.65,0.105,0.09,20,1
28,0.05,1.8,0.05,2,0.2,1.073,0.65,0.105,0.09,20,1
28,0.05,1.8,0.05,3,0.1,0.727,0.583,0.105,0.047,24,0
28,0.05,1.8,0.05,3,0.15,0.727,0.583,0.105,0.047,24,0
28,0.05,1.8,0.05,3,0.2,0.727,0.583,0.105,0.047,24,0
28,0.05,1.8,0.06,2,0.1,1.155,0.65,0.105,0.097,20,1
28,0.05,1.8,0.06,2,0.15,1.155,0.65,0.105,0.097,20,1
28,0.05,1.8,0.06,2,0.2,1.155,0.65,0.105,0.097,20,1
28,0.05,1.8,0.06,3,0.1,0.704,0.565,0.105,0.045,23,0
28,0.05,1.8,0.06,3,0.15,0.704,0.565,0.105,0.045,23,0
28,0.05,1.8,0.06,3,0.2,0.704,0.565,0.105,0.045,23,0
28,0.05,2.0,0.04,2,0.1,-0.464,0.222,0.11,-0.026,9,0
28,0.05,2.0,0.04,2,0.15,0.089,0.417,0.11,0.003,12,0
28,0.05,2.0,0.04,2,0.2,0.089,0.417,0.11,0.003,12,0
28,0.05,2.0,0.04,3,0.1,-0.175,0.385,0.1,-0.009,13,0
28,0.05,2.0,0.04,3,0.15,-0.175,0.385,0.1,-0.009,13,0
28,0.05,2.0,0.04,3,0.2,-0.175,0.385,0.1,-0.009,13,0
28,0.05,2.0,0.05,2,0.1,0.448,0.5,0.11,0.027,12,0
28,0.05,2.0,0.05,2,0.15,0.448,0.5,0.11,0.027,12,0
28,0.05,2.0,0.05,2,0.2,0.448,0.5,0.11,0.027,12,0
28,0.05,2.0,0.05,3,0.1,0.153,0.462,0.099,0.006,13,0
28,0.05,2.0,0.05,3,0.15,0.153,0.462,0.099,0.006,13,0
28,0.05,2.0,0.05,3,0.2,0.153,0.462,0.099,0.006,13,0
28,0.05,2.0,0.06,2,0.1,0.655,0.545,0.105,0.041,11,0
28,0.05,2.0,0.06,2,0.15,0.655,0.545,0.105,0.041,11,0
28,0.05,2.0,0.06,2,0.2,0.655,0.545,0.105,0.041,11,0
28,0.05,2.0,0.06,3,0.1,0.3,0.462,0.099,0.014,13,0
28,0.05,2.0,0.06,3,0.15,0.3,0.462,0.099,0.014,13,0
28,0.05,2.0,0.06,3,0.2,0.3,0.462,0.099,0.014,13,0
28,0.06,1.5,0.04,2,0.1,0.459,0.538,0.103,0.031,13,0
28,0.06,1.5,0.04,2,0.15,-0.042,0.438,0.177,-0.007,16,0
28,0.06,1.5,0.04,2,0.2,-0.337,0.389,0.223,-0.032,18,0
28,0.06,1.5,0.04,3,0.1,-0.173,0.412,0.132,-0.013,17,0
28,0.06,1.5,0.04,3,0.15,0.773,0.583,0.154,0.061,36,0
28,0.06,1.5,0.04,3,0.2,0.773,0.583,0.154,0.061,36,0
28,0.06,1.5,0.05,2,0.1,0.177,0.5,0.115,0.01,12,0
28,0.06,1.5,0.05,2,0.15,1.127,0.679,0.141,0.125,28,1
28,0.06,1.5,0.05,2,0.2,1.127,0.679,0.141,0.125,28,1
28,0.06,1.5,0.05,3,0.1,1.103,0.667,0.119,0.089,33,1
28,0.06,1.5,0.05,3,0.15,1.103,0.667,0.119,0.089,33,1
28,0.06,1.5,0.05,3,0.2,1.103,0.667,0.119,0.089,33,1
28,0.06,1.5,0.06,2,0.1,0.136,0.455,0.115,0.007,11,0
28,0.06,1.5,0.06,2,0.15,1.074,0.667,0.141,0.118,27,1
28,0.06,1.5,0.06,2,0.2,1.074,0.667,0.141,0.118,27,1
28,0.06,1.5,0.06,3,0.1,1.052,0.656,0.119,0.084,32,1
28,0.06,1.5,0.06,3,0.15,1.052,0.656,0.119,0.084,32,1
28,0.06,1.5,0.06,3,0.2,1.052,0.656,0.119,0.084,32,1
28,0.06,1.8,0.04,2,0.1,0.932,0.571,0.134,0.075,21,1
28,0.06,1.8,0.04,2,0.15,0.932,0.571,0.134,0.075,21,1
28,0.06,1.8,0.04,2,0.2,0.932,0.571,0.134,0.075,21,1
28,0.06,1.8,0.04,3,0.1,0.843,0.583,0.116,0.051,24,1
28,0.06,1.8,0.04,3,0.15,0.843,0.583,0.116,0.051,24,1
28,0.06,1.8,0.04,3,0.2,0.843,0.583,0.116,0.051,24,1
28,0.06,1.8,0.05,2,0.1,1.069,0.632,0.11,0.088,19,1
28,0.06,1.8,0.05,2,0.15,1.069,0.632,0.11,0.088,19,1
28,0.06,1.8,0.05,2,0.2,1.069,0.632,0.11,0.088,19,1
28,0.06,1.8,0.05,3,0.1,0.817,0.591,0.105,0.051,22,1
28,0.06,1.8,0.05,3,0.15,0.817,0.591,0.105,0.051,22,1
28,0.06,1.8,0.05,3,0.2,0.817,0.591,0.105,0.051,22,1
28,0.06,1.8,0.06,2,0.1,1.084,0.647,0.105,0.087,17,1
28,0.06,1.8,0.06,2,0.15,1.084,0.647,0.105,0.087,17,1
28,0.06,1.8,0.06,2,0.2,1.084,0.647,0.105,0.087,17,1
28,0.06,1.8,0.06,3,0.1,0.849,0.591,0.105,0.054,22,1
28,0.06,1.8,0.06,3,0.15,0.849,0.591,0.105,0.054,22,1
28,0.06,1.8,0.06,3,0.2,0.849,0.591,0.105,0.054,22,1
28,0.06,2.0,0.04,2,0.1,-0.102,0.286,0.11,-0.006,7,0
28,0.06,2.0,0.04,2,0.15,0.294,0.444,0.11,0.014,9,0
28,0.06,2.0,0.04,2,0.2,0.294,0.444,0.11,0.014,9,0
28,0.06,2.0,0.04,3,0.1,0.115,0.455,0.1,0.004,11,0
28,0.06,2.0,0.04,3,0.15,0.115,0.455,0.1,0.004,11,0
28,0.06,2.0,0.04,3,0.2,0.115,0.455,0.1,0.004,11,0
28,0.06,2.0,0.05,2,0.1,0.799,0.6,0.11,0.048,10,0
28,0.06,2.0,0.05,2,0.15,0.799,0.6,0.11,0.048,10,0
28,0.06,2.0,0.05,2,0.2,0.799,0.6,0.11,0.048,10,0
28,0.06,2.0,0.05,3,0.1,0.432,0.545,0.099,0.02,11,0
28,0.06,2.0,0.05,3,0.15,0.432,0.545,0.099,0.02,11,0
28,0.06,2.0,0.05,3,0.2,0.432,0.545,0.099,0.02,11,0
28,0.06,2.0,0.06,2,0.1,0.799,0.6,0.11,0.048,10,0
28,0.06,2.0,0.06,2,0.15,0.799,0.6,0.11,0.048,10,0
28,0.06,2.0,0.06,2,0.2,0.799,0.6,0.11,0.048,10,0
28,0.06,2.0,0.06,3,0.1,0.432,0.545,0.099,0.02,11,0
28,0.06,2.0,0.06,3,0.15,0.432,0.545,0.099,0.02,11,0
28,0.06,2.0,0.06,3,0.2,0.432,0.545,0.099,0.02,11,0
30,0.04,1.5,0.04,2,0.1,0.488,0.579,0.103,0.036,19,0
30,0.04,1.5,0.04,2,0.15,0.026,0.5,0.177,-0.002,22,0
30,0.04,1.5,0.04,2,0.2,-0.244,0.458,0.222,-0.026,24,0
30,0.04,1.5,0.04,3,0.1,0.24,0.516,0.142,0.015,31,0
30,0.04,1.5,0.04,3,0.15,0.03,0.485,0.171,-0.001,33,0
30,0.04,1.5,0.04,3,0.2,0.991,0.597,0.197,0.092,62,1
30,0.04,1.5,0.05,2,0.1,-0.175,0.5,0.103,-0.011,8,0
30,0.04,1.5,0.05,2,0.15,0.974,0.643,0.141,0.121,42,1
30,0.04,1.5,0.05,2,0.2,0.974,0.643,0.141,0.121,42,1
30,0.04,1.5,0.05,3,0.1,0.222,0.552,0.132,0.013,29,0
30,0.04,1.5,0.05,3,0.15,1.151,0.638,0.137,0.107,58,1
30,0.04,1.5,0.05,3,0.2,1.151,0.638,0.137,0.107,58,1
30,0.04,1.5,0.06,2,0.1,-0.175,0.5,0.103,-0.011,8,0
30,0.04,1.5,0.06,2,0.15,0.83,0.634,0.141,0.1,41,1
30,0.04,1.5,0.06,2,0.2,0.83,0.634,0.141,0.1,41,1
30,0.04,1.5,0.06,3,0.1,0.158,0.536,0.132,0.009,28,0
30,0.04,1.5,0.06,3,0.15,1.049,0.632,0.137,0.097,57,1
30,0.04,1.5,0.06,3,0.2,1.049,0.632,0.137,0.097,57,1
30,0.04,1.8,0.04,2,0.1,0.249,0.5,0.116,0.014,18,0
30,0.04,1.8,0.04,2,0.15,1.005,0.621,0.119,0.085,29,1
30,0.04,1.8,0.04,2,0.2,1.005,0.621,0.119,0.085,29,1
30,0.04,1.8,0.04,3,0.1,1.246,0.615,0.097,0.089,39,1
30,0.04,1.8,0.04,3,0.15,1.246,0.615,0.097,0.089,39,1
30,0.04,1.8,0.04,3,0.2,1.246,0.615,0.097,0.089,39,1
30,0.04,1.8,0.05,2,0.1,0.817,0.593,0.113,0.067,27,1
30,0.04,1.8,0.05,2,0.15,0.817,0.593,0.113,0.067,27,1
30,0.04,1.8,0.05,2,0.2,0.817,0.593,0.113,0.067,27,1
30,0.04,1.8,0.05,3,0.1,1.063,0.611,0.083,0.076,36,1
30,0.04,1.8,0.05,3,0.15,1.063,0.611,0.083,0.076,36,1
30,0.04,1.8,0.05,3,0.2,1.063,0.611,0.083,0.076,36,1
30,0.04,1.8,0.06,2,0.1,0.852,0.593,0.113,0.071,27,1
30,0.04,1.8,0.06,2,0.15,0.852,0.593,0.113,0.071,27,1
30,0.04,1.8,0.06,2,0.2,0.852,0.593,0.113,0.071,27,1
30,0.04,1.8,0.06,3,0.1,1.188,0.611,0.083,0.087,36,1
30,0.04,1.8,0.06,3,0.15,1.188,0.611,0.083,0.087,36,1
30,0.04,1.8,0.06,3,0.2,1.188,0.611,0.083,0.087,36,1
30,0.04,2.0,0.04,2,0.1,-0.37,0.273,0.11,-0.019,11,0
30,0.04,2.0,0.04,2,0.15,0.332,0.471,0.113,0.018,17,0
30,0.04,2.0,0.04,2,0.2,0.332,0.471,0.113,0.018,17,0
30,0.04,2.0,0.04,3,0.1,0.258,0.48,0.091,0.014,25,0
30,0.04,2.0,0.04,3,0.15,0.258,0.48,0.091,0.014,25,0
30,0.04,2.0,0.04,3,0.2,0.258,0.48,0.091,0.014,25,0
30,0.04,2.0,0.05,2,0.1,0.604,0.556,0.091,0.039,18,0
30,0.04,2.0,0.05,2,0.15,0.604,0.556,0.091,0.039,18,0
30,0.04,2.0,0.05,2,0.2,0.604,0.556,0.091,0.039,18,0
30,0.04,2.0,0.05,3,0.1,0.404,0.52,0.092,0.024,25,0
30,0.04,2.0,0.05,3,0.15,0.404,0.52,0.092,0.024,25,0
30,0.04,2.0,0.05,3,0.2,0.404,0.52,0.092,0.024,25,0
30,0.04,2.0,0.06,2,0.1,0.76,0.556,0.091,0.051,18,0
30,0.04,2.0,0.06,2,0.15,0.76,0.556,0.091,0.051,18,0
30,0.04,2.0,0.06,2,0.2,0.76,0.556,0.091,0.051,18,0
30,0.04,2.0,0.06,3,0.1,0.428,0.5,0.092,0.026,24,0
30,0.04,2.0,0.06,3,0.15,0.428,0.5,0.092,0.026,24,0
30,0.04,2.0,0.06,3,0.2,0.428,0.5,0.092,0.026,24,0
30,0.05,1.5,0.04,2,0.1,0.661,0.533,0.103,0.046,15,0
30,0.05,1.5,0.04,2,0.15,0.136,0.444,0.177,0.007,18,0
30,0.05,1.5,0.04,2,0.2,-0.163,0.4,0.222,-0.017,20,0
30,0.05,1.5,0.04,3,0.1,0.018,0.44,0.142,-0.001,25,0
30,0.05,1.5,0.04,3,0.15,-0.211,0.407,0.17,-0.016,27,0
30,0.05,1.5,0.04,3,0.2,0.854,0.556,0.197,0.071,54,1
30,0.05,1.5,0.05,2,0.1,0.426,0.533,0.115,0.029,15,0
30,0.05,1.5,0.05,2,0.15,0.956,0.583,0.141,0.109,36,1
30,0.05,1.5,0.05,2,0.2,0.956,0.583,0.141,0.109,36,1
30,0.05,1.5,0.05,3,0.1,-0.02,0.478,0.132,-0.004,23,0
30,0.05,1.5,0.05,3,0.15,0.995,0.6,0.137,0.085,50,1
30,0.05,1.5,0.05,3,0.2,0.995,0.6,0.137,0.085,50,1
30,0.05,1.5,0.06,2,0.1,0.365,0.5,0.115,0.024,14,0
30,0.05,1.5,0.06,2,0.15,0.943,0.583,0.141,0.107,36,1
30,0.05,1.5,0.06,2,0.2,0.943,0.583,0.141,0.107,36,1
30,0.05,1.5,0.06,3,0.1,-0.094,0.455,0.132,-0.008,22,0
30,0.05,1.5,0.06,3,0.15,0.838,0.583,0.137,0.069,48,1
30,0.05,1.5,0.06,3,0.2,0.838,0.583,0.137,0.069,48,1
30,0.05,1.8,0.04,2,0.1,-0.254,0.286,0.116,-0.017,14,0
30,0.05,1.8,0.04,2,0.15,0.716,0.5,0.109,0.055,24,0
30,0.05,1.8,0.04,2,0.2,0.716,0.5,0.109,0.055,24,0
30,0.05,1.8,0.04,3,0.1,1.004,0.548,0.098,0.064,31,1
30,0.05,1.8,0.04,3,0.15,1.004,0.548,0.098,0.064,31,1
30,0.05,1.8,0.04,3,0.2,1.004,0.548,0.098,0.064,31,1
30,0.05,1.8,0.05,2,0.1,-0.178,0.364,0.1,-0.012,11,0
30,0.05,1.8,0.05,2,0.15,0.71,0.542,0.115,0.056,24,0
30,0.05,1.8,0.05,2,0.2,0.71,0.542,0.115,0.056,24,0
30,0.05,1.8,0.05,3,0.1,0.97,0.567,0.101,0.066,30,1
30,0.05,1.8,0.05,3,0.15,0.97,0.567,0.101,0.066,30,1
30,0.05,1.8,0.05,3,0.2,0.97,0.567,0.101,0.066,30,1
30,0.05,1.8,0.06,2,0.1,0.785,0.5,0.118,0.063,24,0
30,0.05,1.8,0.06,2,0.15,0.785,0.5,0.118,0.063,24,0
30,0.05,1.8,0.06,2,0.2,0.785,0.5,0.118,0.063,24,0
30,0.05,1.8,0.06,3,0.1,0.89,0.552,0.091,0.058,29,1
30,0.05,1.8,0.06,3,0.15,0.89,0.552,0.091,0.058,29,1
30,0.05,1.8,0.06,3,0.2,0.89,0.552,0.091,0.058,29,1
30,0.05,2.0,0.04,2,0.1,-0.537,0.182,0.115,-0.028,11,0
30,0.05,2.0,0.04,2,0.15,0.034,0.333,0.107,0.0,15,0
30,0.05,2.0,0.04,2,0.2,0.034,0.333,0.107,0.0,15,0
30,0.05,2.0,0.04,3,0.1,-0.856,0.154,0.105,-0.045,13,0
30,0.05,2.0,0.04,3,0.15,-0.153,0.368,0.101,-0.011,19,0
30,0.05,2.0,0.04,3,0.2,-0.153,0.368,0.101,-0.011,19,0
30,0.05,2.0,0.05,2,0.1,0.263,0.4,0.108,0.015,15,0
30,0.05,2.0,0.05,2,0.15,0.263,0.4,0.108,0.015,15,0
30,0.05,2.0,0.05,2,0.2,0.263,0.4,0.108,0.015,15,0
30,0.05,2.0,0.05,3,0.1,0.023,0.421,0.101,-0.0,19,0
30,0.05,2.0,0.05,3,0.15,0.023,0.421,0.101,-0.0,19,0
30,0.05,2.0,0.05,3,0.2,0.023,0.421,0.101,-0.0,19,0
30,0.05,2.0,0.06,2,0.1,0.565,0.438,0.108,0.036,16,0
30,0.05,2.0,0.06,2,0.15,0.565,0.438,0.108,0.036,16,0
30,0.05,2.0,0.06,2,0.2,0.565,0.438,0.108,0.036,16,0
30,0.05,2.0,0.06,3,0.1,0.149,0.421,0.1,0.007,19,0
30,0.05,2.0,0.06,3,0.15,0.149,0.421,0.1,0.007,19,0
30,0.05,2.0,0.06,3,0.2,0.149,0.421,0.1,0.007,19,0
30,0.06,1.5,0.04,2,0.1,0.468,0.5,0.103,0.032,14,0
30,0.06,1.5,0.04,2,0.15,0.109,0.438,0.156,0.005,16,0
30,0.06,1.5,0.04,2,0.2,-0.31,0.368,0.223,-0.03,19,0
30,0.06,1.5,0.04,3,0.1,-0.18,0.409,0.144,-0.016,22,0
30,0.06,1.5,0.04,3,0.15,-0.246,0.4,0.161,-0.022,25,0
30,0.06,1.5,0.04,3,0.2,0.84,0.587,0.161,0.075,46,1
30,0.06,1.5,0.05,2,0.1,0.084,0.462,0.115,0.003,13,0
30,0.06,1.5,0.05,2,0.15,0.901,0.613,0.141,0.1,31,1
30,0.06,1.5,0.05,2,0.2,0.901,0.613,0.141,0.1,31,1
30,0.06,1.5,0.05,3,0.1,0.995,0.643,0.119,0.091,42,1
30,0.06,1.5,0.05,3,0.15,0.995,0.643,0.119,0.091,42,1
30,0.06,1.5,0.05,3,0.2,0.995,0.643,0.119,0.091,42,1
30,0.06,1.5,0.06,2,0.1,0.042,0.417,0.115,0.0,12,0
30,0.06,1.5,0.06,2,0.15,0.912,0.613,0.141,0.103,31,1
30,0.06,1.5,0.06,2,0.2,0.912,0.613,0.141,0.103,31,1
30,0.06,1.5,0.06,3,0.1,-0.194,0.412,0.123,-0.016,17,0
30,0.06,1.5,0.06,3,0.15,0.838,0.625,0.136,0.075,40,1
30,0.06,1.5,0.06,3,0.2,0.838,0.625,0.136,0.075,40,1
30,0.06,1.8,0.04,2,0.1,1.175,0.591,0.113,0.095,22,1
30,0.06,1.8,0.04,2,0.15,1.175,0.591,0.113,0.095,22,1
30,0.06,1.8,0.04,2,0.2,1.175,0.591,0.113,0.095,22,1
30,0.06,1.8,0.04,3,0.1,1.146,0.593,0.105,0.072,27,1
30,0.06,1.8,0.04,3,0.15,1.146,0.593,0.105,0.072,27,1
30,0.06,1.8,0.04,3,0.2,1.146,0.593,0.105,0.072,27,1
30,0.06,1.8,0.05,2,0.1,1.111,0.6,0.108,0.09,20,1
30,0.06,1.8,0.05,2,0.15,0.95,0.571,0.117,0.08,21,1
30,0.06,1.8,0.05,2,0.2,0.95,0.571,0.117,0.08,21,1
30,0.06,1.8,0.05,3,0.1,1.019,0.6,0.106,0.067,25,1
30,0.06,1.8,0.05,3,0.15,1.019,0.6,0.106,0.067,25,1
30,0.06,1.8,0.05,3,0.2,1.019,0.6,0.106,0.067,25,1
30,0.06,1.8,0.06,2,0.1,1.178,0.632,0.104,0.096,19,1
30,0.06,1.8,0.06,2,0.15,1.135,0.619,0.113,0.101,21,1
30,0.06,1.8,0.06,2,0.2,1.135,0.619,0.113,0.101,21,1
30,0.06,1.8,0.06,3,0.1,1.139,0.615,0.115,0.08,26,1
30,0.06,1.8,0.06,3,0.15,1.139,0.615,0.115,0.08,26,1
30,0.06,1.8,0.06,3,0.2,1.139,0.615,0.115,0.08,26,1
30,0.06,2.0,0.04,2,0.1,0.665,0.455,0.092,0.032,11,0
30,0.06,2.0,0.04,2,0.15,0.665,0.455,0.092,0.032,11,0
30,0.06,2.0,0.04,2,0.2,0.665,0.455,0.092,0.032,11,0
30,0.06,2.0,0.04,3,0.1,0.547,0.5,0.09,0.025,14,0
30,0.06,2.0,0.04,3,0.15,0.547,0.5,0.09,0.025,14,0
30,0.06,2.0,0.04,3,0.2,0.547,0.5,0.09,0.025,14,0
30,0.06,2.0,0.05,2,0.1,1.043,0.636,0.103,0.064,11,0
30,0.06,2.0,0.05,2,0.15,1.043,0.636,0.103,0.064,11,0
30,0.06,2.0,0.05,2,0.2,1.043,0.636,0.103,0.064,11,0
30,0.06,2.0,0.05,3,0.1,0.709,0.571,0.1,0.035,14,0
30,0.06,2.0,0.05,3,0.15,0.709,0.571,0.1,0.035,14,0
30,0.06,2.0,0.05,3,0.2,0.709,0.571,0.1,0.035,14,0
30,0.06,2.0,0.06,2,0.1,1.043,0.636,0.103,0.064,11,0
30,0.06,2.0,0.06,2,0.15,1.043,0.636,0.103,0.064,11,0
30,0.06,2.0,0.06,2,0.2,1.043,0.636,0.103,0.064,11,0
30,0.06,2.0,0.06,3,0.1,0.709,0.571,0.1,0.035,14,0
30,0.06,2.0,0.06,3,0.15,0.709,0.571,0.1,0.035,14,0
30,0.06,2.0,0.06,3,0.2,0.709,0.571,0.1,0.035,14,0
33,0.04,1.5,0.04,2,0.1,1.033,0.6,0.103,0.113,25,1
33,0.04,1.5,0.04,2,0.15,0.702,0.536,0.169,0.076,28,0
33,0.04,1.5,0.04,2,0.2,0.49,0.5,0.212,0.052,30,0
33,0.04,1.5,0.04,3,0.1,0.69,0.528,0.131,0.061,36,0
33,0.04,1.5,0.04,3,0.15,0.582,0.488,0.185,0.055,41,0
33,0.04,1.5,0.04,3,0.2,0.48,0.465,0.207,0.045,43,0
33,0.04,1.5,0.05,2,0.1,0.596,0.583,0.143,0.062,24,0
33,0.04,1.5,0.05,2,0.15,0.401,0.556,0.201,0.041,27,0
33,0.04,1.5,0.05,2,0.2,0.401,0.556,0.201,0.041,27,0
33,0.04,1.5,0.05,3,0.1,0.67,0.541,0.12,0.062,37,0
33,0.04,1.5,0.05,3,0.15,1.773,0.636,0.125,0.266,77,1
33,0.04,1.5,0.05,3,0.2,1.773,0.636,0.125,0.266,77,1
33,0.04,1.5,0.06,2,0.1,0.69,0.609,0.142,0.073,23,0
33,0.04,1.5,0.06,2,0.15,0.576,0.571,0.193,0.065,28,0
33,0.04,1.5,0.06,2,0.2,0.444,0.531,0.206,0.049,32,0
33,0.04,1.5,0.06,3,0.1,0.493,0.514,0.12,0.044,35,0
33,0.04,1.5,0.06,3,0.15,1.441,0.622,0.125,0.204,74,1
33,0.04,1.5,0.06,3,0.2,1.441,0.622,0.125,0.204,74,1
33,0.04,1.8,0.04,2,0.1,-0.193,0.476,0.12,-0.017,21,0
